source_platform,listing_url,listing_id,broker_reference,permit_number,property_number,plot_number,building,unit,cpid,source,freshness,confidence,verified_by,bridge_status,missing_bridge_fields
,,,,27459,,,,,CPID-PERMIT-27459,Nakheel_Approval_QA_Report.pdf,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,03,CPID-UNIT-03,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,Neighbour Buildings opposite the Secondary & Tertiary Roads,04,CPID-UNIT-04,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,3 b 0703 681,762,CPID-UNIT-762,JVC.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,Enclosed street corner unit,05,CPID-UNIT-05,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,06,CPID-UNIT-06,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,horizon 10905 tamouh 3602 b horizon tower,3602B,CPID-UNIT-3602b,9304ba5c-2c1e-4676-be97-203428460013.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,Neighbour Buildings opposite the Tertiary Road & Adjacent plot,07,CPID-UNIT-07,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,Neighbour Buildings opposite the Tertiary Road & Adjacent plot,08,CPID-UNIT-08,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,Neighbour Buildings/Main Road/DSC Community (Waterfront Sports Park & Canal),09,CPID-UNIT-09,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,1109,CPID-UNIT-1109,Active Listings.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,12,CPID-UNIT-12,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,13,CPID-UNIT-13,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,,14,CPID-UNIT-14,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,DLRC Community / Road,16,CPID-UNIT-16,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,DLRC Community / Road,17,CPID-UNIT-17,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,In between 2 Villas,23,CPID-UNIT-23,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,In between 2 Villas,24,CPID-UNIT-24,Dubai_brokers__Project__5d39d16462.xlsx,2026-06-27,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,RIVAGE,2701,CPID-UNIT-2701,2DON_MOHAMED_REDHA_-DEYAAR_DEVELOPMENT__TOWER__12b7690544.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,RIVAGE,2701,CPID-UNIT-2701,969df60b-5cdb-4e83-bcfc-de54e28a41eb.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
,,,,,,,B2,B2304,CPID-UNIT-b2304,Reportage_Inventory__ARABIAN RANCHES SEA BREEZE PROJECT__97471e39a0.xlsx,,0,bridge_import,invalid_bridge,public_bridge_reference
