path,scope,category,size_bytes,pages_extracted,extraction_status,hits,error,text_preview
AIOS/KnowledgeBase/raw_data/pdf/4160bddb939f__04_Calculations_Evaluation_Undertaking_Registers.pdf,property_intelligence,general_aios,17560,11,OK,PJ-P-VP-018; Swimming pool,,"--- page 1 --- PLANNING CALCULATIONS & SCHEDULES Verified against Affection Plan, DLD Parcel 3812795 (Ref. PJ2026P85) FAR Schedule Floor Level G.F.A (m²) Basement -4.30 318.48 Ground +0.30 291.57 First +5.30 244.98 Second +9.40 244.97 Total G.F.A 1,100.00 Plot area 1,410.00 F.A.R proposed 78.01% F.A.R permitted 80.00% (1,128.00 m²) Area Schedule (Built-Up Area) Floor / item B.U.A (m²) Basement 675.10 Ground 583.96 First 247.39 Second 247.38 Swimming pool 99.00 Pergola 30.53 Total B.U.A 1,883.36 Coverage Schedule Item Value Status Ground floor footprint 614.49 m² — Coverage ratio 43.58% COMPLIES Maximum permitted 50% (705.00 m²) — Setback Schedule Edge Required Provided Status Front (Road / S-E) 6.00 m 6.00 m COMPLIES Rear (Beach / N-W) 6.00 m 6.00 m COMPLIES PJ-P-VP-018 · Rev B · 12-Jun-2026 · Page 26 of 36 --- page 2 --- Edge Required Provided Status Side (Neighbour E) 3.00 m 3.00 m CO"
AIOS/KnowledgeBase/raw_data/pdf/3008c4c0e927__55470a29-a81a-413f-b94d-49806393bfb8.pdf,property_intelligence,general_aios,245903,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/c9310946a8cb__2c11365a-920e-4fbf-b761-f3ec6aa07aec.pdf,property_intelligence,general_aios,883001,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/ff8ddb09f452__4bce7e1d-d7ed-4753-a6c6-ac6a6db55ac0.pdf,property_intelligence,general_aios,157462,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/b55b03a407e2__f642c215-9968-44f8-a60b-48f9eb02e68c.pdf,property_intelligence,general_aios,381415,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/f7c67732f3e4__111b9e0e-5cca-4fc1-8030-65da5d2b122e.pdf,property_intelligence,general_aios,15783464,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/33b84bb05ef2__c0dba1ff-b37c-484d-965a-df8be6de181b.pdf,property_intelligence,general_aios,1535396,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/1e810db78405__68c55253-4371-460e-af1b-b1f9f0630f36.pdf,property_intelligence,general_aios,105638,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/aabd2fd0f206__3ceef07d-ea6f-454d-8b09-c2d44e511e88.pdf,property_intelligence,general_aios,192784,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/a10ff8e66120__a4b437e2-2cf9-418c-9075-567869ccab64.pdf,property_intelligence,general_aios,100242,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/4e1fdbf1f08b__b068cbc3-e4d0-44eb-bf5a-09d691b52ba9.pdf,property_intelligence,general_aios,18433560,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/4bf2f9c1d2be__0fa4290d-215b-4fc7-9f92-c3a44cf8ec43.pdf,property_intelligence,general_aios,505562,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/8a29bd0e596a__c2997c90-4b00-4011-8edf-b9d3643c421d.pdf,property_intelligence,general_aios,2104768,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/044dde6521da__cpalmd _1_.pdf,property_intelligence,general_aios,12618250,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/b3cc25dd9bd9__0ac9e104-9306-42e4-9e0d-2ebedc042ee6.pdf,property_intelligence,general_aios,117926,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/caa928f93edc__243e95b4-1206-488e-9078-f7cf40c512cd.pdf,property_intelligence,general_aios,923033,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/ff7b6c5d68a3__f539a19e-a0ea-44d3-842d-b43697517537.pdf,property_intelligence,general_aios,586961,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/a81a951d70c8__1f895fbd-b9fd-4717-b3a3-e816609ef16f.pdf,property_intelligence,general_aios,8330771,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/caf097817470__9df1e5f5-cd32-49f1-bf92-4ad54f4c6589.pdf,property_intelligence,general_aios,7783476,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/6445da5e45ad__313c5110-0ffe-41be-8f4e-1c038bdee58e.pdf,property_intelligence,general_aios,938372,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/f8cfdeb6c8cb__bd278acc-b963-4bb8-9a6f-45b42ba70178.pdf,property_intelligence,general_aios,257253,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/cf3b134aeb51__699aa61f-d8c6-42c4-ba72-b250625ed797.pdf,property_intelligence,general_aios,208125,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/5e956e197775__4be9adc6-2a66-41ff-be36-8499d9ecd626.pdf,property_intelligence,general_aios,488921,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/b651b5e2cb67__8ff89467-7125-4176-b6a8-6d8b5c7e3153.pdf,property_intelligence,general_aios,30974,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/ff14a55cd0c2__feb1872e-cddc-4661-9753-6397dda0dcf7.pdf,property_intelligence,general_aios,48245812,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/91987800d1d7__Palm_Jumeirah_Nakheel_Submission_Package_RevB_final.pdf,property_intelligence,nakheel_design_approval,12135294,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/c73c1f2a0dec__111320a8-ca3a-48d7-a6a5-936f692cc2a6.pdf,property_intelligence,general_aios,15205181,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/97bf0a2f4d02__5fbac6c9-64e1-433d-b0bc-a675b2b4a76b.pdf,property_intelligence,general_aios,5125237,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/f8854f49aa24__9874537f-45dc-411b-8b1b-c76102b83408.pdf,property_intelligence,general_aios,35958,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/eaaf6c4b99b2__PJ-P-VP-018_REV02_Complete_Approval_Package_a2.pdf,property_intelligence,nakheel_design_approval,301955,0,SKIPPED_LOW_PRIORITY,,,
