area,building,unit,bedrooms,price,size,developer,source,source_date
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-09,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-10,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-13,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-23,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-20-24,3,2595000,1874,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-21-03,4,3395000,1912,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-03,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-04,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-05,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-06,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-07,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-08,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-09,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-10,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-11,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-14,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-15,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-16,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-18,5,4195000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-22,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-23,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-24,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-25,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-26,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-27,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-28,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-29,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
REPORTAGE HILLS,REPORTAGE HILLS,RH-22-31,5,4095000,2403,Reportage,UAE Dubai Projects Availability,2025-08-12
